,Total False Negatives,Total False Positives,Total Errors,Error Rate,Accuracy,Dataset Size
400301,196,14,210,22.6293103448,77.3706896552,928
400309,202,5,207,30.4860088365,69.5139911635,679
400308,211,35,246,24.7734138973,75.2265861027,993
412281,14,5,19,10.8571428571,89.1428571429,175
412280,16,1,17,9.65909090909,90.3409090909,176
412287,51,5,56,31.8181818182,68.1818181818,176
412284,14,1,15,8.57142857143,91.4285714286,175
400570,49,19,68,12.1645796064,87.8354203936,559
400255,187,24,211,40.7335907336,59.2664092664,518
412283,14,1,15,8.47457627119,91.5254237288,177
412282,22,7,29,16.4772727273,83.5227272727,176
400176,95,36,131,13.3130081301,86.6869918699,984
412433,2,3,5,6.57894736842,93.4210526316,76
400239,132,24,156,16.2330905307,83.7669094693,961
400238,247,12,259,26.1352169526,73.8647830474,991
400235,72,35,107,13.7886597938,86.2113402062,776
400234,59,19,78,9.92366412214,90.0763358779,786
400237,120,19,139,22.24,77.76,625
400230,128,4,132,25.78125,74.21875,512
400233,152,4,156,26.8965517241,73.1034482759,580
400232,139,7,146,28.515625,71.484375,512
412436,3,3,6,7.31707317073,92.6829268293,82
400409,182,33,215,23.8359201774,76.1640798226,902
400406,48,5,53,10.5367793241,89.4632206759,503
400407,156,8,164,23.9766081871,76.0233918129,684
400404,41,23,64,8.14249363868,91.8575063613,786
412437,1,5,6,7.5,92.5,80
400402,231,10,241,28.896882494,71.103117506,834
400403,170,6,176,29.2358803987,70.7641196013,602
400400,58,21,79,12.9508196721,87.0491803279,610
400077,53,3,56,13.023255814,86.976744186,430
412463,2,0,2,2.43902439024,97.5609756098,82
412462,0,0,0,0.0,100.0,82
412461,2,0,2,2.5974025974,97.4025974026,77
412460,1,0,1,1.21951219512,98.7804878049,82
400071,24,54,78,11.2554112554,88.7445887446,693
412465,1,0,1,1.21951219512,98.7804878049,82
412464,0,1,1,1.23456790123,98.7654320988,81
412469,1,0,1,1.23456790123,98.7654320988,81
412468,2,0,2,2.66666666667,97.3333333333,75
412265,23,0,23,13.0681818182,86.9318181818,176
412308,12,6,18,10.5882352941,89.4117647059,170
400283,262,15,277,29.9783549784,70.0216450216,924
412261,14,0,14,6.82926829268,93.1707317073,205
400285,72,5,77,17.7419354839,82.2580645161,434
412263,10,8,18,9.18367346939,90.8163265306,196
412302,16,0,16,9.0395480226,90.9604519774,177
412303,23,1,24,13.6363636364,86.3636363636,176
400122,235,16,251,26.6454352442,73.3545647558,942
412269,21,1,22,12.7906976744,87.2093023256,172
412307,6,1,7,4.02298850575,95.9770114943,174
412305,16,12,28,15.9090909091,84.0909090909,176
400055,89,33,122,12.7882599581,87.2117400419,954
412417,3,2,5,6.09756097561,93.9024390244,82
412414,0,3,3,3.65853658537,96.3414634146,82
412415,1,3,4,4.87804878049,95.1219512195,82
412412,9,1,10,13.5135135135,86.4864864865,74
412413,1,3,4,4.87804878049,95.1219512195,82
412410,2,1,3,3.65853658537,96.3414634146,82
400052,37,17,54,12.5874125874,87.4125874126,429
400058,107,15,122,12.9374337222,87.0625662778,943
412418,10,4,14,17.2839506173,82.7160493827,81
412419,1,8,9,11.5384615385,88.4615384615,78
412441,2,1,3,3.7037037037,96.2962962963,81
412443,0,0,0,0.0,100.0,81
412442,2,0,2,2.5641025641,97.4358974359,78
412444,1,2,3,3.65853658537,96.3414634146,82
400630,58,15,73,20.5633802817,79.4366197183,355
400141,13,35,48,10.9589041096,89.0410958904,438
400636,36,4,40,11.1111111111,88.8888888889,360
400639,39,4,43,12.3919308357,87.6080691643,347
400638,38,1,39,10.8635097493,89.1364902507,359
412446,0,1,1,1.21951219512,98.7804878049,82
400271,151,8,159,26.194398682,73.805601318,607
412250,55,3,58,20.4946996466,79.5053003534,283
400273,59,20,79,9.3050647821,90.6949352179,849
400274,83,21,104,23.6902050114,76.3097949886,439
400277,38,12,50,8.89679715302,91.103202847,562
400276,78,4,82,18.7643020595,81.2356979405,437
400279,26,16,42,8.82352941176,91.1764705882,476
400278,157,22,179,18.9217758985,81.0782241015,946
400442,94,7,101,25.5696202532,74.4303797468,395
400379,192,8,200,30.2114803625,69.7885196375,662
400440,173,21,194,21.77328844,78.22671156,891
400441,33,7,40,9.52380952381,90.4761904762,420
400371,211,6,217,31.4949201742,68.5050798258,689
400373,55,21,76,11.1111111111,88.8888888889,684
400376,67,10,77,12.7694859038,87.2305140962,603
400297,31,2,33,8.00970873786,91.9902912621,412
412310,11,2,13,7.30337078652,92.6966292135,178
400082,266,51,317,32.1501014199,67.8498985801,986
400080,139,37,176,19.3406593407,80.6593406593,910
400081,100,53,153,24.094488189,75.905511811,635
400086,43,6,49,9.60784313725,90.3921568627,510
400087,173,3,176,29.2358803987,70.7641196013,602
400089,32,11,43,8.68686868687,91.3131313131,495
412317,13,2,15,8.42696629213,91.5730337079,178
412228,13,6,19,6.7615658363,93.2384341637,281
412186,20,3,23,8.0985915493,91.9014084507,284
412221,9,9,18,6.54545454545,93.4545454545,275
412189,12,6,18,6.33802816901,93.661971831,284
412225,55,50,105,38.3211678832,61.6788321168,274
412226,18,5,23,8.15602836879,91.8439716312,282
400280,76,2,78,17.8489702517,82.1510297483,437
400019,6,40,46,7.86324786325,92.1367521368,585
400018,103,37,140,14.8619957537,85.1380042463,942
400152,166,7,173,28.7853577371,71.2146422629,601
400154,67,25,92,10.586881473,89.413118527,869
400157,44,14,58,8.68263473054,91.3173652695,668
400158,48,10,58,11.6465863454,88.3534136546,498
400010,65,28,93,10.9799291617,89.0200708383,847
400013,128,11,139,22.9372937294,77.0627062706,606
412451,3,1,4,5.0,95.0,80
412456,1,0,1,1.25,98.75,80
412457,1,1,2,2.46913580247,97.5308641975,81
400017,65,47,112,12.9779837775,87.0220162225,863
409888,38,7,45,8.94632206759,91.0536779324,503
400335,47,8,55,10.6796116505,89.3203883495,515
