,n_baseline_misclassified,null_hypothesis,better_algorithm,baseline accuracy,value,n_svm_misclassified,SVM accuracy
400301,45,3.841459,1,77.3706896552,9.765625,19,80.3879310345
400309,113,3.841459,1,69.5139911635,27.3962264151,46,79.381443299
400308,111,3.841459,1,75.2265861027,7.89071038251,72,79.556898288
412281,0,3.841459,2,89.1428571429,0.0,1,88.5714285714
412280,2,3.841459,2,90.3409090909,0.166666666667,4,89.2045454545
412287,34,3.841459,1,68.1818181818,14.880952381,8,82.9545454545
412284,2,3.841459,2,91.4285714286,0.0,1,92.0
400570,0,3.841459,0,87.8354203936,2147483647,0,87.8354203936
400255,170,3.841459,1,59.2664092664,28.4448818898,84,75.8687258687
412283,0,3.841459,2,91.5254237288,0.5,2,90.395480226
412282,3,3.841459,2,83.5227272727,0.0,2,84.0909090909
400176,0,3.841459,0,86.6869918699,2147483647,0,86.6869918699
412433,2,3.841459,2,93.4210526316,0.0,1,94.7368421053
400239,45,3.841459,2,83.7669094693,1.55128205128,33,85.4318418314
400238,120,3.841459,1,73.8647830474,28.9940828402,49,81.2310797175
400235,44,3.841459,1,86.2113402062,10.0806451613,18,89.6907216495
400234,1,3.841459,2,90.0763358779,0.0,0,90.203562341
400237,14,3.841459,2,77.76,1.13636363636,8,78.72
400230,66,3.841459,1,74.21875,9.61,34,81.25
400233,94,3.841459,1,73.1034482759,20.0296296296,41,82.2413793103
400232,80,3.841459,1,71.484375,33.3069306931,21,83.0078125
412436,3,3.841459,2,92.6829268293,1.33333333333,0,96.3414634146
400409,66,3.841459,1,76.1640798226,10.3434343434,33,80.044345898
400406,8,3.841459,1,89.4632206759,4.0,1,90.8548707753
400407,38,3.841459,1,76.0233918129,13.7959183673,11,80.1169590643
400404,1,3.841459,2,91.8575063613,0.0,2,91.7302798982
412437,1,3.841459,2,92.5,0.5,1,92.5
400402,125,3.841459,1,71.103117506,19.0476190476,64,78.1774580336
400403,100,3.841459,1,70.7641196013,30.3407407407,35,81.8936877076
400400,0,3.841459,2,87.0491803279,0.5,2,86.7213114754
400077,12,3.841459,2,86.976744186,0.0454545454545,10,87.4418604651
412463,2,3.841459,2,97.5609756098,0.0,1,98.7804878049
412462,0,3.841459,2,100.0,0.0,1,98.7804878049
412461,2,3.841459,2,97.4025974026,0.5,0,100.0
412460,1,3.841459,2,98.7804878049,0.0,2,97.5609756098
400071,1,3.841459,2,88.7445887446,0.5,1,88.7445887446
412465,1,3.841459,2,98.7804878049,0.5,1,98.7804878049
412464,0,3.841459,2,98.7654320988,0.5,2,96.2962962963
412469,1,3.841459,2,98.7654320988,0.5,1,98.7654320988
412468,2,3.841459,2,97.3333333333,0.0,1,98.6666666667
412265,3,3.841459,2,86.9318181818,1.33333333333,0,88.6363636364
412308,2,3.841459,2,89.4117647059,0.0,1,90.0
400283,147,3.841459,1,70.0216450216,30.0469483568,66,78.6796536797
412261,0,3.841459,2,93.1707317073,0.0,1,92.6829268293
400285,37,3.841459,1,82.2580645161,6.68518518519,17,86.6359447005
412263,3,3.841459,2,90.8163265306,0.25,1,91.8367346939
412302,1,3.841459,2,90.9604519774,0.25,3,89.8305084746
412303,3,3.841459,2,86.3636363636,0.0,2,87.5
400122,115,3.841459,1,73.3545647558,26.7239263804,48,80.2547770701
412269,0,3.841459,2,87.2093023256,1.33333333333,3,86.0465116279
412307,0,3.841459,2,95.9770114943,0.5,2,94.8275862069
412305,2,3.841459,2,84.0909090909,0.5,0,85.7954545455
400055,0,3.841459,0,87.2117400419,2147483647,0,87.2117400419
412417,3,3.841459,2,93.9024390244,0.0,2,95.1219512195
412414,0,3.841459,2,96.3414634146,0.0,1,95.1219512195
412415,1,3.841459,2,95.1219512195,0.0,0,96.3414634146
412412,1,3.841459,2,86.4864864865,0.0,2,85.1351351351
412413,1,3.841459,2,95.1219512195,0.0,2,93.9024390244
412410,2,3.841459,2,96.3414634146,0.0,1,97.5609756098
400052,0,3.841459,2,87.4125874126,0.0,1,87.1794871795
400058,20,3.841459,2,87.0625662778,0.25,16,87.4867444327
412418,5,3.841459,2,82.7160493827,0.0,6,81.4814814815
412419,0,3.841459,0,88.4615384615,2147483647,0,88.4615384615
412441,1,3.841459,2,96.2962962963,0.5,1,96.2962962963
412443,0,3.841459,2,100.0,0.0,1,98.7654320988
412442,2,3.841459,2,97.4358974359,0.0,1,98.7179487179
412444,1,3.841459,2,96.3414634146,0.0,0,97.5609756098
400630,28,3.841459,1,79.4366197183,5.625,12,83.661971831
400141,1,3.841459,2,89.0410958904,0.0,0,89.2694063927
400636,1,3.841459,2,88.8888888889,0.0,0,89.1666666667
400639,20,3.841459,1,87.6080691643,7.84,5,91.9308357349
400638,19,3.841459,2,89.1364902507,0.484848484848,14,90.5292479109
