,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400301,228,24.5689655172,161,0.979253112033,2169,928,75.4310344828,67
400176,184,18.6991869919,150,0.987173816895,2261,984,81.3008130081,34
412433,4,5.26315789474,4,0.988888888889,180,76,94.7368421053,0
400309,178,26.2150220913,126,0.986675126904,1576,679,73.7849779087,52
400308,237,23.8670694864,178,0.982736296936,2317,993,76.1329305136,59
412281,35,20.0,28,0.985221674877,406,175,80.0,7
412280,24,13.6363636364,20,0.982800982801,407,176,86.3636363636,4
412287,33,18.75,22,0.995133819951,411,176,81.25,11
400255,118,22.7799227799,80,0.984962406015,1197,518,77.2200772201,38
412284,23,13.1428571429,16,0.98296836983,411,175,86.8571428571,7
412283,33,18.6440677966,29,0.9902200489,409,177,81.3559322034,4
400570,95,16.9946332737,80,0.989230769231,1300,559,83.0053667263,15
400239,166,17.273673257,137,0.988340807175,2230,961,82.726326743,29
400238,213,21.4934409687,147,0.983592400691,2316,991,78.5065590313,66
412282,37,21.0227272727,18,0.985148514851,404,176,78.9772727273,19
400235,82,10.5670103093,69,0.990005552471,1801,776,89.4329896907,13
400234,72,9.16030534351,58,0.993442622951,1830,786,90.8396946565,14
400237,174,27.84,55,0.989167230873,1477,625,72.16,119
400230,103,20.1171875,80,0.99081803005,1198,512,79.8828125,23
400233,135,23.275862069,99,0.982391782832,1363,580,76.724137931,36
