,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400301,182,19.6120689655,34,0.812355924389,2169,928,80.3879310345,148
400309,138,20.324005891,58,0.81345177665,1576,679,79.675994109,80
400308,203,20.443101712,112,0.812688821752,2317,993,79.556898288,91
412281,20,11.4285714286,5,0.889162561576,406,175,88.5714285714,15
412280,19,10.7954545455,3,0.90171990172,407,176,89.2045454545,16
412287,30,17.0454545455,11,0.849148418491,411,176,82.9545454545,19
412284,14,8.0,1,0.907542579075,411,175,92.0,13
400570,68,12.1645796064,19,0.883076923077,1300,559,87.8354203936,49
400255,125,24.1312741313,115,0.753550543024,1197,518,75.8687258687,10
412283,17,9.60451977401,2,0.919315403423,409,177,90.395480226,15
412282,30,17.0454545455,7,0.866336633663,404,176,82.9545454545,23
400176,131,13.3130081301,36,0.867757629368,2261,984,86.6869918699,95
412433,4,5.26315789474,4,0.938888888889,180,76,94.7368421053,0
400239,140,14.5681581686,61,0.884304932735,2230,961,85.4318418314,79
400238,186,18.7689202825,66,0.839378238342,2316,991,81.2310797175,120
400235,80,10.3092783505,54,0.910605219323,1801,776,89.6907216495,26
400234,77,9.79643765903,19,0.914754098361,1830,786,90.203562341,58
400237,133,21.28,28,0.834123222749,1477,625,78.72,105
400230,92,17.96875,40,0.874791318865,1198,512,82.03125,52
400233,103,17.7586206897,47,0.838591342627,1363,580,82.2413793103,56
400232,88,17.1875,29,0.866610738255,1192,512,82.8125,59
412436,3,3.65853658537,3,0.973544973545,189,82,96.3414634146,0
400409,180,19.955654102,77,0.837505904582,2117,902,80.044345898,103
400406,46,9.14512922465,7,0.896551724138,1189,503,90.8548707753,39
400407,136,19.8830409357,20,0.807426054122,1589,684,80.1169590643,116
400404,65,8.26972010178,25,0.916849015317,1828,786,91.7302798982,40
412437,6,7.5,6,0.941489361702,188,80,92.5,0
400402,182,21.8225419664,85,0.834279814146,1937,834,78.1774580336,97
400403,109,18.1063122924,48,0.842887473461,1413,602,81.8936877076,61
400400,81,13.2786885246,23,0.888181174805,1413,610,86.7213114754,58
400077,54,12.5581395349,14,0.909270216963,1014,430,87.4418604651,40
412463,1,1.21951219512,1,0.989473684211,190,82,98.7804878049,0
412462,1,1.21951219512,1,0.978723404255,188,82,98.7804878049,0
412461,0,0.0,0,0.983333333333,180,77,100.0,0
412460,2,2.43902439024,2,0.989473684211,190,82,97.5609756098,0
400071,78,11.2554112554,54,0.874303405573,1615,693,88.7445887446,24
412465,1,1.21951219512,1,0.984210526316,190,82,98.7804878049,0
412464,3,3.7037037037,3,0.973544973545,189,81,96.2962962963,0
412469,1,1.23456790123,1,0.978378378378,185,81,98.7654320988,0
412468,1,1.33333333333,1,0.988235294118,170,75,98.6666666667,0
412265,20,11.3636363636,0,0.891089108911,404,176,88.6363636364,20
412308,17,10.0,5,0.907928388747,391,170,90.0,12
400283,197,21.3203463203,89,0.827394724665,2161,924,78.6796536797,108
412261,15,7.31707317073,1,0.900423728814,472,205,92.6829268293,14
400285,58,13.3640552995,27,0.900695134062,1007,434,86.6359447005,31
412263,16,8.16326530612,6,0.940397350993,453,196,91.8367346939,10
