,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400301,209,22.5215517241,14,0.779621945597,2169,928,77.4784482759,195
400309,146,21.5022091311,73,0.787436548223,1576,679,78.4977908689,73
400308,218,21.9536757301,71,0.741476046612,2317,993,78.0463242699,147
412281,20,11.4285714286,5,0.881773399015,406,175,88.5714285714,15
412280,19,10.7954545455,3,0.90171990172,407,176,89.2045454545,16
412287,31,17.6136363636,30,0.773722627737,411,176,82.3863636364,1
412284,15,8.57142857143,2,0.900243309002,411,175,91.4285714286,13
400570,68,12.1645796064,19,0.883076923077,1300,559,87.8354203936,49
400255,134,25.8687258687,134,0.731829573935,1197,518,74.1312741313,0
412283,17,9.60451977401,2,0.907090464548,409,177,90.395480226,15
412282,30,17.0454545455,7,0.866336633663,404,176,82.9545454545,23
400176,131,13.3130081301,36,0.867757629368,2261,984,86.6869918699,95
412433,4,5.26315789474,4,0.938888888889,180,76,94.7368421053,0
400239,163,16.9614984391,31,0.836771300448,2230,961,83.0385015609,132
400238,198,19.9798183653,54,0.789291882556,2316,991,80.0201816347,144
400235,96,12.3711340206,47,0.880621876735,1801,776,87.6288659794,49
400234,78,9.92366412214,19,0.913114754098,1830,786,90.0763358779,59
400237,139,22.24,19,0.807718348003,1477,625,77.76,120
400230,106,20.703125,51,0.843906510851,1198,512,79.296875,55
400233,145,25.0,46,0.786500366838,1363,580,75.0,99
400232,85,16.6015625,33,0.833053691275,1192,512,83.3984375,52
412436,3,3.65853658537,3,0.973544973545,189,82,96.3414634146,0
400409,200,22.1729490022,59,0.766178554558,2117,902,77.8270509978,141
400406,53,10.5367793241,5,0.882253994954,1189,503,89.4632206759,48
400407,164,23.9766081871,8,0.760226557583,1589,684,76.0233918129,156
400404,64,8.14249363868,23,0.915207877462,1828,786,91.8575063613,41
412437,6,7.5,6,0.941489361702,188,80,92.5,0
400402,201,24.1007194245,73,0.78575116159,1937,834,75.8992805755,128
400403,137,22.7574750831,40,0.774946921444,1413,602,77.2425249169,97
400400,80,13.1147540984,22,0.883934890304,1413,610,86.8852459016,58
400077,54,12.5581395349,11,0.896449704142,1014,430,87.4418604651,43
412463,1,1.21951219512,1,0.989473684211,190,82,98.7804878049,0
412462,1,1.21951219512,1,0.978723404255,188,82,98.7804878049,0
412461,0,0.0,0,0.983333333333,180,77,100.0,0
412460,2,2.43902439024,2,0.989473684211,190,82,97.5609756098,0
400071,79,11.3997113997,54,0.871826625387,1615,693,88.6002886003,25
412465,1,1.21951219512,1,0.984210526316,190,82,98.7804878049,0
412464,3,3.7037037037,3,0.973544973545,189,81,96.2962962963,0
412469,1,1.23456790123,1,0.978378378378,185,81,98.7654320988,0
412468,1,1.33333333333,1,0.988235294118,170,75,98.6666666667,0
412265,21,11.9318181818,0,0.876237623762,404,176,88.0681818182,21
412308,17,10.0,5,0.90537084399,391,170,90.0,12
400283,186,20.1298701299,85,0.797316057381,2161,924,79.8701298701,101
412261,18,8.78048780488,1,0.89406779661,472,205,91.2195121951,17
400285,71,16.3594470046,18,0.853028798411,1007,434,83.6405529954,53
412263,16,8.16326530612,6,0.940397350993,453,196,91.8367346939,10
412302,18,10.1694915254,1,0.908866995074,406,177,89.8305084746,17
412303,22,12.5,2,0.878345498783,411,176,87.5,20
400122,219,23.2484076433,49,0.779208831647,2174,942,76.7515923567,170
412269,24,13.9534883721,3,0.877805486284,401,172,86.0465116279,21
412307,9,5.1724137931,1,0.924242424242,396,174,94.8275862069,8
412305,25,14.2045454545,9,0.845965770171,409,176,85.7954545455,16
400055,122,12.7882599581,33,0.896162528217,2215,954,87.2117400419,89
412417,4,4.87804878049,4,0.967741935484,186,82,95.1219512195,0
