,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400301,238,25.6465517241,119,0.935454126325,2169,928,74.3534482759,119
400309,217,31.9587628866,30,0.930837563452,1576,679,68.0412371134,187
400308,232,23.3635448137,122,0.929218817436,2317,993,76.6364551863,110
412281,25,14.2857142857,5,0.967980295567,406,175,85.7142857143,20
412280,26,14.7727272727,15,0.97542997543,407,176,85.2272727273,11
412287,40,22.7272727273,22,0.931873479319,411,176,77.2727272727,18
412284,30,17.1428571429,6,0.970802919708,411,175,82.8571428571,24
400570,96,17.1735241503,75,0.966153846154,1300,559,82.8264758497,21
400255,141,27.2200772201,106,0.878863826232,1197,518,72.7799227799,35
412283,30,16.9491525424,21,0.9804400978,409,177,83.0508474576,9
412282,23,13.0681818182,13,0.940594059406,404,176,86.9318181818,10
400176,189,19.2073170732,149,0.956214064573,2261,984,80.7926829268,40
412433,4,5.26315789474,4,0.983333333333,180,76,94.7368421053,0
400239,168,17.4817898023,61,0.955156950673,2230,961,82.5182101977,107
400238,308,31.0797174571,11,0.924870466321,2316,991,68.9202825429,297
400235,87,11.2113402062,60,0.968906163243,1801,776,88.7886597938,27
400234,73,9.28753180662,30,0.978142076503,1830,786,90.7124681934,43
400237,168,26.88,6,0.953960731212,1477,625,73.12,162
400230,176,34.375,4,0.952420701169,1198,512,65.625,172
400233,202,34.8275862069,16,0.93396918562,1363,580,65.1724137931,186
400232,110,21.484375,32,0.951342281879,1192,512,78.515625,78
412436,3,3.65853658537,3,0.994708994709,189,82,96.3414634146,0
400409,241,26.7184035477,28,0.932451582428,2117,902,73.2815964523,213
400406,62,12.3260437376,19,0.979814970563,1189,503,87.6739562624,43
400407,161,23.5380116959,103,0.940843297671,1589,684,76.4619883041,58
400404,76,9.66921119593,20,0.975929978118,1828,786,90.3307888041,56
412437,6,7.5,6,0.984042553191,188,80,92.5,0
400402,306,36.690647482,10,0.935983479608,1937,834,63.309352518,296
400403,216,35.8803986711,7,0.938428874735,1413,602,64.1196013289,209
400400,86,14.0983606557,54,0.970983722576,1413,610,85.9016393443,32
400077,58,13.488372093,7,0.978303747535,1014,430,86.511627907,51
412463,1,1.21951219512,1,1.0,190,82,98.7804878049,0
412462,1,1.21951219512,1,0.984042553191,188,82,98.7804878049,0
412461,2,2.5974025974,0,0.988888888889,180,77,97.4025974026,2
412460,2,2.43902439024,2,0.989473684211,190,82,97.5609756098,0
400071,92,13.2756132756,73,0.960990712074,1615,693,86.7243867244,19
412465,2,2.43902439024,1,0.989473684211,190,82,97.5609756098,1
412464,4,4.93827160494,3,0.989417989418,189,81,95.0617283951,1
412469,1,1.23456790123,1,0.983783783784,185,81,98.7654320988,0
412468,1,1.33333333333,1,1.0,170,75,98.6666666667,0
412265,20,11.3636363636,2,0.967821782178,404,176,88.6363636364,18
412308,19,11.1764705882,6,0.979539641944,391,170,88.8235294118,13
400283,199,21.5367965368,126,0.919481721425,2161,924,78.4632034632,73
412261,22,10.7317073171,4,0.978813559322,472,205,89.2682926829,18
400285,72,16.5898617512,15,0.976166832175,1007,434,83.4101382488,57
412263,22,11.2244897959,6,0.98233995585,453,196,88.7755102041,16
412302,32,18.0790960452,19,0.967980295567,406,177,81.9209039548,13
412303,26,14.7727272727,10,0.970802919708,411,176,85.2272727273,16
400122,292,30.9978768577,19,0.93146274149,2174,942,69.0021231423,273
412269,26,15.1162790698,6,0.967581047382,401,172,84.8837209302,20
412307,13,7.47126436782,1,0.984848484848,396,174,92.5287356322,12
412305,25,14.2045454545,9,0.941320293399,409,176,85.7954545455,16
400055,144,15.0943396226,36,0.967042889391,2215,954,84.9056603774,108
412417,4,4.87804878049,4,0.983870967742,186,82,95.1219512195,0
412414,4,4.87804878049,4,0.973684210526,190,82,95.1219512195,0
412415,3,3.65853658537,2,0.994680851064,188,82,96.3414634146,1
412412,14,18.9189189189,11,0.988165680473,169,74,81.0810810811,3
412413,5,6.09756097561,5,0.984126984127,189,82,93.9024390244,0
412410,13,15.8536585366,2,0.989361702128,188,82,84.1463414634,11
400052,65,15.1515151515,42,0.982160555005,1009,429,84.8484848485,23
400058,120,12.7253446448,51,0.957136342909,2193,943,87.2746553552,69
412418,12,14.8148148148,6,0.978723404255,188,81,85.1851851852,6
412419,8,10.2564102564,8,0.972375690608,181,78,89.7435897436,0
412441,3,3.7037037037,2,0.989417989418,189,81,96.2962962963,1
